Ticker,Company Name,Ex-Date 1,Ex-Date 2,Ex-Date 3,Ex-Date 4,,Q1 Stock $ change,Div 1 $,Q1 %,Q2 Stock $ change,Div 2 $,Q2 %,Q3 Stock $ change,Div 3,Q3 %,Q4 Stock $ change,Div 4 $,Q4 %,Total Gain in %,1/1/25 $$$,12/31/25 $$$,stock chng $$$ anal,stock chng % anal
PFLT,PennantPark,Monthly,Monthly,Monthly,Monthly,,#VALUE!,~$0.10,#VALUE!,#VALUE!,~$0.10,#VALUE!,#VALUE!,~$0.10,#VALUE!,#VALUE!,~$0.10,#VALUE!,#VALUE!,$10.99,$9.27,-$1.72,-18.55%
MAIN,Main Street Cap,Monthly,Monthly,Monthly,Monthly,,#VALUE!,~$0.24,#VALUE!,#VALUE!,~$0.24,#VALUE!,#VALUE!,~$0.24,#VALUE!,#VALUE!,~$0.24,#VALUE!,#VALUE!,$59.26,$60.39,$1.13,1.87%
O,Realty Income,Monthly,Monthly,Monthly,Monthly,,#VALUE!,~$0.26,#VALUE!,#VALUE!,~$0.26,#VALUE!,#VALUE!,~$0.26,#VALUE!,#VALUE!,~$0.26,#VALUE!,#VALUE!,$52.60,$56.37,$3.77,6.69%
WBA,Walgreens Boots,02/21/2025,05/21/2025,08/21/2025,11/21/2025,,$30.41,$0.25,14.74%,#N/A,$0.25,#N/A,#N/A,$0.25,#N/A,#N/A,$0.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
SIRI,Sirius XM,02/07/2025,05/09/2025,08/08/2025,11/07/2025,,$3.10,$0.02,12.26%,$2.26,$0.02,10.57%,$1.85,$0.02,8.73%,-$0.18,$0.02,-0.74%,30.83%,$22.10,$20.00,-$2.10,-10.50%
SON,Sonoco Products,02/07/2025,05/09/2025,08/08/2025,11/07/2025,,$0.12,$0.51,1.34%,$1.67,$0.52,4.94%,$2.01,$0.52,5.57%,$0.36,$0.52,2.16%,14.01%,$48.01,$43.64,-$4.37,-10.01%
ET,Energy Transfer,02/07/2025,05/09/2025,08/08/2025,11/07/2025,,-$0.49,$0.31,-0.90%,$1.28,$0.32,9.30%,-$0.55,$0.32,-1.33%,$0.18,$0.32,3.04%,10.10%,$19.71,$16.49,-$3.22,-19.53%
PRU,Prudential Fin,02/24/2025,05/20/2025,08/19/2025,11/18/2025,,$1.69,$1.30,2.71%,-$2.86,$1.30,-1.47%,$4.16,$1.30,5.14%,$1.61,$1.30,2.84%,9.21%,$118.27,$112.88,-$5.39,-4.77%
MAA,Mid-America Apt,01/15/2025,04/15/2025,07/15/2025,10/15/2025,,-$2.21,$1.47,-0.50%,$8.35,$1.47,6.34%,$2.94,$1.47,2.99%,-$1.49,$1.47,-0.02%,8.82%,$152.47,$138.91,-$13.56,-9.76%
UPS,United Parcel,02/18/2025,05/19/2025,08/18/2025,11/17/2025,,$3.58,$1.63,4.51%,-$3.66,$1.63,-2.05%,$1.43,$1.63,3.54%,$0.50,$1.63,2.26%,8.26%,$123.87,$99.19,-$24.68,-24.88%
