Ticker,TotalPnL,DivCaptured,TradeCount,MarketCap,Segment
NVDA,84844.60266220759,738.805125,102,4380976218112,Mega Cap (>200B)
AAPL,34699.97472351074,2506.68,93,3676245065728,Mega Cap (>200B)
MSFT,-13854.088075256348,9906.4,115,2939877064704,Mega Cap (>200B)
META,-8204.545587158203,427.275,4,1552413491200,Mega Cap (>200B)
AVGO,25747.300594520573,10235.075,34,1527448731648,Mega Cap (>200B)
WMT,42756.09736052966,13911.444477,109,1008725131264,Mega Cap (>200B)
LLY,76984.98450338744,11641.824,129,881665114112,Mega Cap (>200B)
JPM,21197.39912536621,12956.28,36,764446900224,Mega Cap (>200B)
XOM,69956.2383945465,47744.05,130,650515120128,Mega Cap (>200B)
V,47547.42305175782,8209.17,114,592178118656,Mega Cap (>200B)
JNJ,-1185.339584350586,0.0,13,582038847488,Mega Cap (>200B)
MU,-6375.391507568358,212.06,5,479613255680,Mega Cap (>200B)
COST,70462.64122039796,13302.32,111,447432327168,Mega Cap (>200B)
ORCL,62991.96216552734,14031.68,108,445800251392,Mega Cap (>200B)
MA,15421.667043151858,6061.44,110,444425043968,Mega Cap (>200B)
CVX,-876.6823818969726,1617.47,2,393512779776,Mega Cap (>200B)
ABBV,29456.482344970704,44719.86,123,388431347712,Mega Cap (>200B)
PG,85429.38796655273,29277.591,115,352594100224,Mega Cap (>200B)
KO,6988.241327362058,20074.455,66,332686426112,Mega Cap (>200B)
CAT,30539.51626693726,20162.37,130,324773150720,Mega Cap (>200B)
GE,-12926.05610367578,2138.311389,72,316117188608,Mega Cap (>200B)
CSCO,-6865.443092651366,11916.68,27,309489238016,Mega Cap (>200B)
PM,19847.211509094235,37947.61,80,271889661952,Mega Cap (>200B)
AMAT,61941.19932273864,9867.29,54,271041576960,Mega Cap (>200B)
LRCX,15312.565447788236,11404.7925,100,266529554432,Mega Cap (>200B)
UNH,333.67608642578125,603.0,9,256046268416,Mega Cap (>200B)
MS,47982.70639152527,35416.7,129,245911912448,Mega Cap (>200B)
TMUS,1892.880667114258,1677.9,2,243152158720,Mega Cap (>200B)
GS,-40548.88599853516,20650.95,79,234607083520,Mega Cap (>200B)
MCD,90.79076934814452,52.51,1,232963293184,Mega Cap (>200B)
WFC,91755.32823524476,23000.85,68,232606154752,Mega Cap (>200B)
IBM,64500.92659022363,35936.989136,110,231111393280,Mega Cap (>200B)
LIN,3319.4951400756836,856.75,7,228879646720,Mega Cap (>200B)
INTC,5243.653163772582,10212.405999999999,49,228629315584,Mega Cap (>200B)
PEP,1771.1679902343749,708.928,2,218610352128,Mega Cap (>200B)
GEV,-13553.40997314453,339.75,6,218418397184,Mega Cap (>200B)
VZ,49912.73139356995,45390.068999999996,56,216704614400,Mega Cap (>200B)
AXP,32921.20832489013,9400.48,58,206627930112,Mega Cap (>200B)
AMGN,34316.83173736572,33737.84,117,197411962880,Large Cap (50B-200B)
T,45202.90405435944,44665.404,47,196519526400,Large Cap (50B-200B)
NEE,75176.32204896545,23160.02225,93,193309163520,Large Cap (50B-200B)
ABT,5639.265714416506,19286.135000000002,99,187721891840,Large Cap (50B-200B)
KLAC,-1609.6818144226063,2149.51,35,186398425088,Large Cap (50B-200B)
C,115943.24552215576,38775.64,146,184885526528,Large Cap (50B-200B)
CRM,45547.07070666504,2404.912,8,180681719808,Large Cap (50B-200B)
GILD,5314.398606872559,2575.85,24,179993575424,Large Cap (50B-200B)
DIS,33089.68872894287,7605.389999999999,38,176079601664,Large Cap (50B-200B)
