BuyBefore,SellAfter,FinalEquity,TotalReturnPct,MaxDrawdownPct,TotalTrades,ReportDir
5,5,3769034.87,3669.03,-36.27,24733,reports/portfolio_20260315_180225
5,10,1494407.8,1394.41,-36.96,15415,reports/portfolio_20260315_180227
5,15,1473256.67,1373.26,-37.77,11562,reports/portfolio_20260315_180230
5,20,942571.45,842.57,-37.3,9510,reports/portfolio_20260315_180232
5,25,920484.54,820.48,-35.98,7802,reports/portfolio_20260315_180234
5,30,860970.66,760.97,-38.83,6444,reports/portfolio_20260315_180236
5,35,708788.0,608.79,-40.64,5577,reports/portfolio_20260315_180238
5,40,534468.23,434.47,-39.67,5006,reports/portfolio_20260315_180239
5,45,422742.32,322.74,-39.07,4381,reports/portfolio_20260315_180241
5,50,643414.38,543.41,-37.68,4066,reports/portfolio_20260315_180243
5,55,498011.4,398.01,-39.53,3720,reports/portfolio_20260315_180246
5,60,553711.12,453.71,-34.7,3407,reports/portfolio_20260315_180248
10,5,2181293.34,2081.29,-37.03,16895,reports/portfolio_20260315_180250
10,10,1223437.78,1123.44,-38.94,12273,reports/portfolio_20260315_180252
10,15,1034100.5,934.1,-37.88,9799,reports/portfolio_20260315_180254
10,20,814061.17,714.06,-38.54,8117,reports/portfolio_20260315_180256
10,25,761369.44,661.37,-39.35,6734,reports/portfolio_20260315_180258
10,30,746396.69,646.4,-40.82,5842,reports/portfolio_20260315_180300
10,35,717037.71,617.04,-40.88,5267,reports/portfolio_20260315_180302
10,40,565335.18,465.34,-41.78,4655,reports/portfolio_20260315_180304
10,45,615658.9,515.66,-39.93,4183,reports/portfolio_20260315_180306
10,50,643999.08,544.0,-40.08,3849,reports/portfolio_20260315_180308
10,55,621380.65,521.38,-41.99,3563,reports/portfolio_20260315_180310
10,60,616682.53,516.68,-43.01,3226,reports/portfolio_20260315_180312
15,5,1445407.41,1345.41,-39.43,13566,reports/portfolio_20260315_180314
15,10,1097407.51,997.41,-38.45,10410,reports/portfolio_20260315_180316
15,15,853285.37,753.29,-38.68,8124,reports/portfolio_20260315_180319
15,20,743776.68,643.78,-40.65,7079,reports/portfolio_20260315_180321
15,25,713243.87,613.24,-38.85,6260,reports/portfolio_20260315_180323
15,30,700140.8,600.14,-38.61,5297,reports/portfolio_20260315_180325
15,35,665901.44,565.9,-41.94,4821,reports/portfolio_20260315_180327
15,40,627680.37,527.68,-39.79,4383,reports/portfolio_20260315_180329
15,45,530096.99,430.1,-40.52,3937,reports/portfolio_20260315_180331
15,50,518375.22,418.38,-43.66,3611,reports/portfolio_20260315_180333
15,55,552089.49,452.09,-38.06,3347,reports/portfolio_20260315_180335
15,60,626614.69,526.61,-41.35,3123,reports/portfolio_20260315_180337
20,5,1129652.72,1029.65,-37.18,11046,reports/portfolio_20260315_180339
20,10,878267.99,778.27,-41.17,8686,reports/portfolio_20260315_180341
20,15,758391.27,658.39,-38.53,7201,reports/portfolio_20260315_180343
20,20,673033.62,573.03,-40.48,6534,reports/portfolio_20260315_180346
20,25,769727.59,669.73,-38.83,5699,reports/portfolio_20260315_180348
20,30,651119.41,551.12,-41.02,4900,reports/portfolio_20260315_180350
20,35,698506.85,598.51,-39.99,4501,reports/portfolio_20260315_180353
20,40,625096.83,525.1,-42.64,4125,reports/portfolio_20260315_180354
20,45,640275.02,540.28,-40.36,3699,reports/portfolio_20260315_180357
20,50,624261.2,524.26,-41.14,3405,reports/portfolio_20260315_180359
20,55,610901.88,510.9,-41.59,3235,reports/portfolio_20260315_180400
20,60,656347.07,556.35,-41.42,3006,reports/portfolio_20260315_180403
25,5,1028222.1,928.22,-36.25,8828,reports/portfolio_20260315_180405
25,10,793937.11,693.94,-39.86,7266,reports/portfolio_20260315_180407
25,15,653827.28,553.83,-39.44,6649,reports/portfolio_20260315_180409
25,20,660230.3,560.23,-38.89,5853,reports/portfolio_20260315_180411
25,25,684102.62,584.1,-38.63,5048,reports/portfolio_20260315_180413
25,30,676070.17,576.07,-39.72,4527,reports/portfolio_20260315_180415
25,35,645648.97,545.65,-41.01,4206,reports/portfolio_20260315_180417
25,40,556253.94,456.25,-42.57,3814,reports/portfolio_20260315_180419
25,45,595086.21,495.09,-43.2,3446,reports/portfolio_20260315_180421
25,50,652443.48,552.44,-44.71,3264,reports/portfolio_20260315_180424
25,55,667498.76,567.5,-41.2,3059,reports/portfolio_20260315_180426
25,60,534141.94,434.14,-42.52,2725,reports/portfolio_20260315_180428
30,5,915760.2,815.76,-38.86,7458,reports/portfolio_20260315_180430
