Date,Ticker,Action,Price,Shares,Value,CashReserves,PricePnL,DivCaptured,TotalPnL,Reason
2026-03-16,AVGO,BUY,326.14,1.533093,500.0,9500.0,,0.0,,Div in 6 days
2026-03-16,PM,BUY,175.99,2.841104,500.0,9000.0,,0.0,,Div in 2 days
2026-03-16,MA,BUY,507.21,0.985778,500.0,8500.0,,0.0,,Div in 23 days
2026-03-16,AXP,BUY,298.72,1.673784,500.0,8000.0,,0.0,,Div in 16 days
2026-03-16,VZ,BUY,51.16,9.773152,500.0,7500.0,,0.0,,Div in 24 days
2026-03-16,ORCL,BUY,155.25,3.220662,500.0,7000.0,,0.0,,Div in 23 days
2026-03-16,ABBV,BUY,222.02,2.25204,500.0,6500.0,,0.0,,Div in 29 days
2026-03-16,WMT,BUY,125.69,3.977952,500.0,6000.0,,0.0,,Div in 3 days
2026-03-16,JPM,BUY,286.61,1.744511,500.0,5500.0,,0.0,,Div in 23 days
2026-03-16,CSCO,BUY,79.06,6.324342,500.0,5000.0,,0.0,,Div in 16 days
2026-03-16,MU,BUY,445.95,1.121195,500.0,4500.0,,0.0,,Div in 13 days
2026-03-16,META,BUY,627.48,0.796834,500.0,4000.0,,0.0,,Div in 3 days
2026-03-16,GEV,BUY,825.0,0.606059,500.0,3500.0,,0.0,,Div in 23 days
2026-03-16,META,DIVIDEND,0.53,0.796834,0.42,3500.42,,0.42,0.42,Dividend Payment
2026-03-17,GEV,DIVIDEND,0.5,0.606059,0.3,3500.72,,0.3,0.3,Dividend Payment
2026-03-17,CAT,BUY,702.35,0.711744,499.89,3000.83,,0.0,,Div in 35 days
2026-03-20,WMT,DIVIDEND,0.25,3.977952,0.99,3001.81,,0.99,0.99,Dividend Payment
2026-03-20,T,BUY,28.32,17.245928,488.48,2513.34,,0.0,,Div in 25 days
2026-03-20,PG,BUY,144.35,3.383922,488.48,2024.86,,0.0,,Div in 35 days
2026-03-24,AVGO,SELL,318.13,1.533093,487.72,2512.59,-12.28,0.0,-12.28,45 days post-div
